Time,Date,Day.of.the.week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic.Situation,Temperature,Visibility.in.metres,TimeGroup,DayGroup
5:30:00 am,10,Tuesday,56,12,2,14,84,normal,19.7,3512.41,Morning,Weekday
5:45:00 am,10,Tuesday,57,13,3,11,84,low,19.4,4988.09,Morning,Weekday
6:00:00 am,10,Tuesday,129,22,42,1,194,heavy,21.8,6242.47,Morning,Weekday
6:15:00 am,10,Tuesday,144,16,49,0,209,heavy,23.1,5600.05,Morning,Weekday
6:30:00 am,10,Tuesday,111,28,20,3,162,normal,22.9,5640.01,Morning,Weekday
6:45:00 am,10,Tuesday,120,27,46,3,196,heavy,23.4,6515.45,Morning,Weekday
7:00:00 am,10,Tuesday,102,39,47,1,189,heavy,21.9,6748.43,Morning,Weekday
7:15:00 am,10,Tuesday,145,23,27,0,195,heavy,25.2,5892.2,Morning,Weekday
7:30:00 am,10,Tuesday,114,37,21,5,177,heavy,24.2,5382.41,Morning,Weekday
7:45:00 am,10,Tuesday,108,18,22,1,149,normal,24.5,5990.37,Morning,Weekday
8:00:00 am,10,Tuesday,122,28,33,1,184,heavy,24.3,6801.2,Morning,Weekday
8:15:00 am,10,Tuesday,114,39,30,3,186,heavy,27.1,8838.9,Morning,Weekday
8:30:00 am,10,Tuesday,150,36,25,1,212,heavy,27.2,7579.97,Morning,Weekday
8:45:00 am,10,Tuesday,107,10,49,2,168,heavy,27.3,8796.08,Morning,Weekday
9:00:00 am,10,Tuesday,124,24,22,0,170,heavy,28.5,8400.52,Morning,Weekday
9:15:00 am,10,Tuesday,77,16,39,29,161,high,28.4,8216.54,Morning,Weekday
9:30:00 am,10,Tuesday,15,23,30,21,89,normal,28.3,7421.61,Morning,Weekday
9:45:00 am,10,Tuesday,32,22,38,21,113,high,28.5,8380.12,Morning,Weekday
10:00:00 am,10,Tuesday,68,13,29,24,134,high,28.3,7053.78,Morning,Weekday
10:15:00 am,10,Tuesday,27,16,36,30,109,normal,30.5,8802.88,Morning,Weekday
10:30:00 am,10,Tuesday,76,7,11,15,109,normal,29.5,7234.28,Morning,Weekday
10:45:00 am,10,Tuesday,41,23,20,17,101,normal,30.4,8340.6,Morning,Weekday
11:00:00 am,10,Tuesday,33,10,3,29,75,normal,31.1,8609.6,Morning,Weekday
11:15:00 am,10,Tuesday,58,8,14,29,109,normal,28.7,8015.83,Morning,Weekday
11:30:00 am,10,Tuesday,65,7,11,26,109,normal,29.3,8322.89,Morning,Weekday
11:45:00 am,10,Tuesday,47,9,6,29,91,normal,28.9,7388.66,Morning,Weekday
12:00:00 pm,10,Tuesday,38,10,5,25,78,normal,28.6,8779.95,Morning,Weekday
12:15:00 pm,10,Tuesday,57,8,12,29,106,normal,29.3,7837.59,Afternoon,Weekday
12:30:00 pm,10,Tuesday,20,6,4,20,50,normal,31.1,7260.89,Afternoon,Weekday
12:45:00 pm,10,Tuesday,24,9,14,23,70,normal,30.9,8975.69,Afternoon,Weekday
1:00:00 pm,10,Tuesday,52,10,13,21,96,normal,28.5,8365.9,Afternoon,Weekday
1:15:00 pm,10,Tuesday,79,15,36,18,148,high,30.5,7838.72,Afternoon,Weekday
1:30:00 pm,10,Tuesday,84,24,22,18,148,normal,28.7,8658.54,Afternoon,Weekday
1:45:00 pm,10,Tuesday,59,19,35,16,129,high,27.7,8992.12,Afternoon,Weekday
2:00:00 pm,10,Tuesday,88,26,31,19,164,high,27.9,8143.51,Afternoon,Weekday
2:15:00 pm,10,Tuesday,24,11,32,13,80,normal,27.4,8050.71,Afternoon,Weekday
2:30:00 pm,10,Tuesday,110,17,23,20,170,heavy,28.2,7749.36,Afternoon,Weekday
2:45:00 pm,10,Tuesday,29,26,5,6,66,low,26.5,8887.54,Afternoon,Weekday
3:00:00 pm,10,Tuesday,43,26,11,20,100,normal,28.1,8693.51,Afternoon,Weekday
3:15:00 pm,10,Tuesday,68,28,9,15,120,normal,26.7,8285.66,Afternoon,Weekday
3:30:00 pm,10,Tuesday,108,16,8,18,150,normal,26.1,7013.66,Afternoon,Weekday
3:45:00 pm,10,Tuesday,101,26,8,14,149,normal,27.5,8552.85,Afternoon,Weekday
4:00:00 pm,10,Tuesday,141,31,36,6,214,heavy,24.5,5930.37,Afternoon,Weekday
4:15:00 pm,10,Tuesday,120,25,28,5,178,heavy,24.6,5728.52,Afternoon,Weekday
4:30:00 pm,10,Tuesday,137,23,44,5,209,heavy,25,5132.49,Afternoon,Weekday
4:45:00 pm,10,Tuesday,124,11,30,7,172,heavy,24.3,5879.27,Afternoon,Weekday
5:00:00 pm,10,Tuesday,145,25,49,7,226,heavy,23.6,6943.32,Afternoon,Weekday
5:15:00 pm,10,Tuesday,122,37,23,8,190,heavy,22.9,6853.66,Evening,Weekday
5:30:00 pm,10,Tuesday,136,30,20,9,195,heavy,22.4,5516.81,Evening,Weekday
5:45:00 pm,10,Tuesday,145,18,40,9,212,heavy,20.3,4243.78,Evening,Weekday
6:00:00 pm,10,Tuesday,138,34,28,5,205,heavy,19.6,4584.24,Evening,Weekday
6:15:00 pm,10,Tuesday,123,10,29,8,170,heavy,21.9,6814.44,Evening,Weekday
6:30:00 pm,10,Tuesday,105,15,21,9,150,normal,21,5193.53,Evening,Weekday
6:45:00 pm,10,Tuesday,75,22,20,11,128,normal,19.4,3955.49,Evening,Weekday
7:00:00 pm,10,Tuesday,90,12,10,13,125,normal,19.1,3353.87,Evening,Weekday
7:15:00 pm,10,Tuesday,102,22,20,16,160,normal,18.7,4808.66,Evening,Weekday
7:30:00 pm,10,Tuesday,61,18,15,27,121,high,16.1,3840.75,Evening,Weekday
7:45:00 pm,10,Tuesday,70,8,14,6,98,low,18.4,3976.64,Evening,Weekday
8:00:00 pm,10,Tuesday,80,17,12,34,143,high,17.8,4329.69,Evening,Weekday
8:15:00 pm,10,Tuesday,62,12,14,19,107,normal,15,3600.17,Evening,Weekday
8:30:00 pm,10,Tuesday,96,5,11,13,125,normal,16.3,3296.86,Evening,Weekday
8:45:00 pm,10,Tuesday,102,6,12,13,133,normal,16.2,4162.7,Evening,Weekday
9:00:00 pm,10,Tuesday,91,14,15,6,126,normal,16.1,4900.48,Evening,Weekday
9:15:00 pm,10,Tuesday,95,8,17,13,133,normal,12.9,3931.1,Night,Weekday
9:30:00 pm,10,Tuesday,75,15,12,21,123,high,13.3,3549.3,Night,Weekday
9:45:00 pm,10,Tuesday,53,21,20,10,104,normal,12.1,3087.57,Night,Weekday
10:00:00 pm,10,Tuesday,13,1,0,19,33,normal,14.4,3619.77,Night,Weekday
10:15:00 pm,10,Tuesday,10,0,1,24,35,normal,13.5,3045.98,Night,Weekday
10:30:00 pm,10,Tuesday,16,2,0,33,51,normal,12.6,2155.92,Night,Weekday
10:45:00 pm,10,Tuesday,11,1,0,29,41,normal,11.7,2644.56,Night,Weekday
11:00:00 pm,10,Tuesday,18,2,1,13,34,normal,12.1,2020.55,Night,Weekday
11:15:00 pm,10,Tuesday,15,0,1,11,27,low,12,2862.82,Night,Weekday
11:30:00 pm,10,Tuesday,14,1,0,33,48,normal,12.1,2844.57,Night,Weekday
11:45:00 pm,10,Tuesday,17,2,0,22,41,normal,11,3020.99,Night,Weekday
12:00:00 am,11,Wednesday,12,2,1,17,32,normal,12.8,2926.61,Night,Weekday
12:15:00 am,11,Wednesday,18,0,0,29,47,normal,13.5,2369.51,Night,Weekday
12:30:00 am,11,Wednesday,16,1,0,14,31,normal,10.9,3126.72,Night,Weekday
12:45:00 am,11,Wednesday,20,0,0,14,34,normal,12.4,2450.68,Night,Weekday
1:00:00 am,11,Wednesday,20,1,1,30,52,normal,13.7,2450.3,Night,Weekday
1:15:00 am,11,Wednesday,15,0,1,23,39,normal,13.6,2242.76,Night,Weekday
1:30:00 am,11,Wednesday,16,0,1,26,43,normal,11.2,3179.9,Night,Weekday
1:45:00 am,11,Wednesday,18,4,0,11,33,low,13.5,2764.56,Night,Weekday
2:00:00 am,11,Wednesday,17,3,1,36,57,normal,12.9,3803.58,Night,Weekday
2:15:00 am,11,Wednesday,14,4,1,10,29,low,12.5,3915.94,Night,Weekday
2:30:00 am,11,Wednesday,18,2,1,25,46,normal,14,3312.2,Night,Weekday
2:45:00 am,11,Wednesday,12,2,0,19,33,normal,14.6,2227.66,Night,Weekday
3:00:00 am,11,Wednesday,11,4,0,30,45,normal,13.8,2769.88,Night,Weekday
3:15:00 am,11,Wednesday,19,1,1,36,57,normal,15.7,2764.91,Night,Weekday
3:30:00 am,11,Wednesday,10,4,0,36,50,normal,14.5,2370.39,Night,Weekday
3:45:00 am,11,Wednesday,20,1,1,32,54,normal,16.7,3630.56,Night,Weekday
4:00:00 am,11,Wednesday,15,5,1,40,61,normal,15.9,2828.08,Night,Weekday
4:15:00 am,11,Wednesday,104,6,5,1,116,normal,17.9,4518.48,Night,Weekday
4:30:00 am,11,Wednesday,109,25,3,8,145,normal,18.1,4728.22,Night,Weekday
4:45:00 am,11,Wednesday,82,23,8,20,133,normal,19,3986.49,Night,Weekday
5:00:00 am,11,Wednesday,81,25,1,18,125,normal,18.9,3115.91,Morning,Weekday
5:15:00 am,11,Wednesday,95,16,10,1,122,normal,19.6,3038.39,Morning,Weekday
5:30:00 am,11,Wednesday,91,24,7,6,128,normal,18.6,4384.64,Morning,Weekday
5:45:00 am,11,Wednesday,81,30,10,0,121,normal,21.4,6865.5,Morning,Weekday
6:00:00 am,11,Wednesday,125,13,26,2,166,high,20.6,4113.32,Morning,Weekday
6:15:00 am,11,Wednesday,125,39,49,3,216,heavy,22.4,6471.26,Morning,Weekday
6:30:00 am,11,Wednesday,125,34,37,1,197,heavy,22.1,6042.43,Morning,Weekday
6:45:00 am,11,Wednesday,125,19,25,4,173,heavy,23.2,5536.97,Morning,Weekday
7:00:00 am,11,Wednesday,125,15,49,0,189,heavy,22.2,6337.7,Morning,Weekday
7:15:00 am,11,Wednesday,125,32,50,5,212,heavy,24.1,5191.34,Morning,Weekday
7:30:00 am,11,Wednesday,125,38,50,1,214,heavy,24.1,5560.79,Morning,Weekday
7:45:00 am,11,Wednesday,125,29,29,3,186,heavy,24.8,5468.96,Morning,Weekday
8:00:00 am,11,Wednesday,125,31,48,4,208,heavy,26.2,7304.26,Morning,Weekday
8:15:00 am,11,Wednesday,125,32,50,0,207,heavy,27.2,7384.45,Morning,Weekday
8:30:00 am,11,Wednesday,125,31,45,0,201,heavy,26.9,8672.31,Morning,Weekday
8:45:00 am,11,Wednesday,125,21,20,1,167,normal,25.8,6858.24,Morning,Weekday
9:00:00 am,11,Wednesday,125,28,36,0,189,heavy,28,8973.32,Morning,Weekday
9:15:00 am,11,Wednesday,39,10,37,16,102,normal,29.2,7759.02,Morning,Weekday
9:30:00 am,11,Wednesday,89,8,12,13,122,normal,28,7006.81,Morning,Weekday
9:45:00 am,11,Wednesday,51,16,16,13,96,normal,28.7,8741.7,Morning,Weekday
10:00:00 am,11,Wednesday,17,9,18,28,72,normal,29.8,7376.31,Morning,Weekday
10:15:00 am,11,Wednesday,48,25,36,21,130,high,27.6,7583.02,Morning,Weekday
10:30:00 am,11,Wednesday,93,7,30,16,146,high,28.2,7360.54,Morning,Weekday
10:45:00 am,11,Wednesday,55,15,36,15,121,high,28.6,8299.95,Morning,Weekday
11:00:00 am,11,Wednesday,51,10,8,22,91,normal,30.6,7147.42,Morning,Weekday
11:15:00 am,11,Wednesday,51,7,3,24,85,normal,28.8,8680.93,Morning,Weekday
11:30:00 am,11,Wednesday,51,9,7,30,97,normal,29,8549.45,Morning,Weekday
11:45:00 am,11,Wednesday,51,7,14,20,92,normal,29.1,7754.19,Morning,Weekday
12:00:00 pm,11,Wednesday,51,10,14,20,95,normal,29.7,7702.3,Morning,Weekday
12:15:00 pm,11,Wednesday,51,10,6,22,89,normal,30.3,7526.48,Afternoon,Weekday
12:30:00 pm,11,Wednesday,51,8,11,22,92,normal,29.1,8385.27,Afternoon,Weekday
12:45:00 pm,11,Wednesday,51,6,10,26,93,normal,29.2,7551,Afternoon,Weekday
1:00:00 pm,11,Wednesday,51,7,7,27,92,normal,28.8,7111.48,Afternoon,Weekday
1:15:00 pm,11,Wednesday,104,17,25,20,166,normal,28.9,8020.18,Afternoon,Weekday
1:30:00 pm,11,Wednesday,6,28,27,14,75,normal,30.6,7896.88,Afternoon,Weekday
1:45:00 pm,11,Wednesday,54,29,37,9,129,high,28,7868.11,Afternoon,Weekday
2:00:00 pm,11,Wednesday,43,13,30,20,106,normal,28.3,8383.29,Afternoon,Weekday
2:15:00 pm,11,Wednesday,60,21,26,11,118,high,27.2,7151.9,Afternoon,Weekday
2:30:00 pm,11,Wednesday,101,23,8,20,152,normal,27.9,7571,Afternoon,Weekday
2:45:00 pm,11,Wednesday,62,26,19,11,118,normal,27.5,7575.89,Afternoon,Weekday
3:00:00 pm,11,Wednesday,39,24,13,11,87,low,26.7,7169.74,Afternoon,Weekday
3:15:00 pm,11,Wednesday,90,20,35,7,152,high,26,7706.28,Afternoon,Weekday
3:30:00 pm,11,Wednesday,109,30,22,20,181,heavy,26.7,8454.87,Afternoon,Weekday
3:45:00 pm,11,Wednesday,68,26,25,20,139,normal,26.1,8014.07,Afternoon,Weekday
4:00:00 pm,11,Wednesday,142,22,37,6,207,heavy,26.8,8885.36,Afternoon,Weekday
4:15:00 pm,11,Wednesday,113,14,20,5,152,normal,26.5,8397.4,Afternoon,Weekday
4:30:00 pm,11,Wednesday,142,13,37,8,200,heavy,24.8,5767.82,Afternoon,Weekday
4:45:00 pm,11,Wednesday,108,23,26,9,166,high,23.2,6624.4,Afternoon,Weekday
5:00:00 pm,11,Wednesday,122,29,30,7,188,heavy,24.8,6307.8,Afternoon,Weekday
5:15:00 pm,11,Wednesday,133,12,30,7,182,heavy,21.9,6564.49,Evening,Weekday
5:30:00 pm,11,Wednesday,118,23,38,10,189,heavy,23.1,6516.77,Evening,Weekday
5:45:00 pm,11,Wednesday,121,35,26,8,190,heavy,22.3,5252.17,Evening,Weekday
6:00:00 pm,11,Wednesday,116,23,20,8,167,normal,20.7,4121.88,Evening,Weekday
6:15:00 pm,11,Wednesday,132,12,27,8,179,heavy,20.3,3365.05,Evening,Weekday
6:30:00 pm,11,Wednesday,144,17,33,7,201,heavy,20.2,4268.74,Evening,Weekday
6:45:00 pm,11,Wednesday,103,21,11,11,146,normal,19.1,3780.33,Evening,Weekday
7:00:00 pm,11,Wednesday,107,15,10,15,147,normal,17.9,4619.15,Evening,Weekday
7:15:00 pm,11,Wednesday,50,10,10,17,87,normal,16.8,3029.48,Evening,Weekday
7:30:00 pm,11,Wednesday,108,15,10,6,139,normal,17.4,3976.87,Evening,Weekday
7:45:00 pm,11,Wednesday,108,24,15,29,176,heavy,17.3,3069.48,Evening,Weekday
8:00:00 pm,11,Wednesday,101,6,15,13,135,normal,17.7,3122.62,Evening,Weekday
8:15:00 pm,11,Wednesday,55,17,12,19,103,normal,16.8,4169.52,Evening,Weekday
8:30:00 pm,11,Wednesday,77,7,20,16,120,normal,15.6,2359.6,Evening,Weekday
8:45:00 pm,11,Wednesday,91,12,19,8,130,normal,14.5,2723.04,Evening,Weekday
9:00:00 pm,11,Wednesday,95,25,17,29,166,high,15.7,2067.08,Evening,Weekday
9:15:00 pm,11,Wednesday,78,17,17,27,139,high,13.4,2014.42,Night,Weekday
9:30:00 pm,11,Wednesday,98,16,16,21,151,high,14.3,3529.46,Night,Weekday
9:45:00 pm,11,Wednesday,86,13,11,35,145,high,12.2,2308.26,Night,Weekday
10:00:00 pm,11,Wednesday,18,4,0,16,38,normal,14.6,2311.33,Night,Weekday
10:15:00 pm,11,Wednesday,18,5,0,12,35,low,12.4,3385.3,Night,Weekday
10:30:00 pm,11,Wednesday,18,2,1,25,46,normal,13.6,2400.77,Night,Weekday
10:45:00 pm,11,Wednesday,18,1,0,17,36,normal,12.4,3282.74,Night,Weekday
11:00:00 pm,11,Wednesday,18,5,0,21,44,normal,10.8,2960.12,Night,Weekday
11:15:00 pm,11,Wednesday,18,0,1,12,31,low,12.7,2700.21,Night,Weekday
11:30:00 pm,11,Wednesday,18,3,1,28,50,normal,12.8,2150.69,Night,Weekday
11:45:00 pm,11,Wednesday,18,4,1,40,63,normal,11,2235.69,Night,Weekday
12:00:00 am,12,Thursday,18,1,1,39,59,normal,13.1,2832.35,Night,Weekday
12:15:00 am,12,Thursday,18,4,0,30,52,normal,13.1,2623.29,Night,Weekday
12:30:00 am,12,Thursday,18,5,1,13,37,normal,13.4,3973.64,Night,Weekday
12:45:00 am,12,Thursday,18,2,0,37,57,normal,13.6,2624.4,Night,Weekday
1:00:00 am,12,Thursday,18,0,0,13,31,normal,13.7,3419.94,Night,Weekday
1:15:00 am,12,Thursday,18,5,0,11,34,low,11.1,2704.29,Night,Weekday
1:30:00 am,12,Thursday,18,5,1,12,36,low,12.8,3799.96,Night,Weekday
1:45:00 am,12,Thursday,18,1,1,16,36,normal,11.6,3636.23,Night,Weekday
2:00:00 am,12,Thursday,18,1,1,34,54,normal,14.6,3178.39,Night,Weekday
2:15:00 am,12,Thursday,18,1,0,24,43,normal,12.9,3146,Night,Weekday
2:30:00 am,12,Thursday,18,0,0,23,41,normal,14.7,3373.9,Night,Weekday
2:45:00 am,12,Thursday,18,0,0,27,45,normal,13.9,3359.05,Night,Weekday
3:00:00 am,12,Thursday,18,5,0,28,51,normal,14,3320.16,Night,Weekday
3:15:00 am,12,Thursday,18,1,0,14,33,normal,16.5,4858.29,Night,Weekday
3:30:00 am,12,Thursday,18,5,0,25,48,normal,15.2,2854.97,Night,Weekday
3:45:00 am,12,Thursday,18,4,1,30,53,normal,16.1,3658.06,Night,Weekday
4:00:00 am,12,Thursday,18,5,1,30,54,normal,15.8,3063.03,Night,Weekday
4:15:00 am,12,Thursday,62,24,7,2,95,low,18,3581.4,Night,Weekday
4:30:00 am,12,Thursday,51,23,6,1,81,low,18.8,3224.61,Night,Weekday
4:45:00 am,12,Thursday,114,23,10,19,166,normal,17.2,4920.33,Night,Weekday
5:00:00 am,12,Thursday,85,22,9,9,125,normal,18.9,3781.05,Morning,Weekday
5:15:00 am,12,Thursday,102,24,4,20,150,normal,20.6,3628.12,Morning,Weekday
5:30:00 am,12,Thursday,101,18,3,17,139,normal,20.7,4997.17,Morning,Weekday
5:45:00 am,12,Thursday,116,19,0,17,152,normal,20.9,4062.49,Morning,Weekday
6:00:00 am,12,Thursday,117,38,50,5,210,heavy,20.2,4944.82,Morning,Weekday
6:15:00 am,12,Thursday,114,32,34,2,182,heavy,20.6,3931.4,Morning,Weekday
6:30:00 am,12,Thursday,120,17,23,1,161,normal,22.1,6208.25,Morning,Weekday
6:45:00 am,12,Thursday,145,20,25,2,192,heavy,22.3,6181.72,Morning,Weekday
7:00:00 am,12,Thursday,125,30,48,1,204,heavy,24.3,5381.82,Morning,Weekday
7:15:00 am,12,Thursday,103,27,45,1,176,heavy,24.8,5153.35,Morning,Weekday
7:30:00 am,12,Thursday,114,20,43,1,178,heavy,25.4,5629.77,Morning,Weekday
7:45:00 am,12,Thursday,145,10,44,1,200,heavy,26.3,8739.21,Morning,Weekday
8:00:00 am,12,Thursday,147,31,20,4,202,heavy,26.3,7638.18,Morning,Weekday
8:15:00 am,12,Thursday,104,24,40,0,168,heavy,25.1,5249.36,Morning,Weekday
8:30:00 am,12,Thursday,124,11,22,0,157,normal,26.6,8443.8,Morning,Weekday
8:45:00 am,12,Thursday,101,37,31,4,173,heavy,27.3,8335.82,Morning,Weekday
9:00:00 am,12,Thursday,144,30,37,1,212,heavy,27.7,7337.58,Morning,Weekday
9:15:00 am,12,Thursday,24,18,37,18,97,normal,28.4,7283.12,Morning,Weekday
9:30:00 am,12,Thursday,24,8,17,25,74,normal,27.2,8803.27,Morning,Weekday
9:45:00 am,12,Thursday,16,22,12,20,70,normal,29.7,7014.71,Morning,Weekday
10:00:00 am,12,Thursday,26,2,39,26,93,normal,29.8,7195.03,Morning,Weekday
10:15:00 am,12,Thursday,90,7,18,15,130,normal,30.3,8422.43,Morning,Weekday
10:30:00 am,12,Thursday,59,6,11,11,87,low,28.4,8157.96,Morning,Weekday
10:45:00 am,12,Thursday,28,7,22,18,75,normal,28.2,8884.91,Morning,Weekday
11:00:00 am,12,Thursday,60,5,14,21,100,normal,30.9,7884.28,Morning,Weekday
11:15:00 am,12,Thursday,69,9,8,23,109,normal,29.4,7084.04,Morning,Weekday
11:30:00 am,12,Thursday,59,9,12,26,106,normal,31.2,8854.59,Morning,Weekday
11:45:00 am,12,Thursday,24,10,5,21,60,normal,29.4,7041.21,Morning,Weekday
12:00:00 pm,12,Thursday,41,7,7,21,76,normal,29.7,8239.6,Morning,Weekday
12:15:00 pm,12,Thursday,48,10,9,29,96,normal,29.8,8552.45,Afternoon,Weekday
12:30:00 pm,12,Thursday,59,10,14,23,106,normal,31.3,8353.29,Afternoon,Weekday
12:45:00 pm,12,Thursday,67,7,12,28,114,high,29.9,8488.93,Afternoon,Weekday
1:00:00 pm,12,Thursday,52,9,8,20,89,normal,29.1,7106.13,Afternoon,Weekday
1:15:00 pm,12,Thursday,45,26,29,10,110,normal,30.8,7233.95,Afternoon,Weekday
1:30:00 pm,12,Thursday,14,21,7,18,60,normal,28.9,7352.57,Afternoon,Weekday
1:45:00 pm,12,Thursday,55,22,24,10,111,normal,28.3,7546.18,Afternoon,Weekday
2:00:00 pm,12,Thursday,45,14,39,5,103,normal,30.2,7602.83,Afternoon,Weekday
2:15:00 pm,12,Thursday,90,17,16,11,134,normal,27.5,8375.6,Afternoon,Weekday
2:30:00 pm,12,Thursday,33,21,25,5,84,normal,28,7824.54,Afternoon,Weekday
2:45:00 pm,12,Thursday,118,25,31,13,187,heavy,28.2,7757.25,Afternoon,Weekday
3:00:00 pm,12,Thursday,86,28,13,5,132,normal,26.3,8625.03,Afternoon,Weekday
3:15:00 pm,12,Thursday,105,29,22,12,168,heavy,28.4,7326.75,Afternoon,Weekday
3:30:00 pm,12,Thursday,10,19,26,8,63,normal,27.4,8107.82,Afternoon,Weekday
3:45:00 pm,12,Thursday,46,22,18,9,95,normal,25,5524.86,Afternoon,Weekday
4:00:00 pm,12,Thursday,105,35,48,6,194,heavy,24.9,6737.99,Afternoon,Weekday
4:15:00 pm,12,Thursday,135,37,34,5,211,heavy,25.2,6165.26,Afternoon,Weekday
4:30:00 pm,12,Thursday,103,29,44,6,182,heavy,23.9,5990.79,Afternoon,Weekday
4:45:00 pm,12,Thursday,113,13,42,10,178,heavy,24.7,6544.46,Afternoon,Weekday
5:00:00 pm,12,Thursday,103,20,27,9,159,high,22.9,5864.29,Afternoon,Weekday
5:15:00 pm,12,Thursday,150,13,20,9,192,heavy,21.5,6467.1,Evening,Weekday
5:30:00 pm,12,Thursday,116,25,33,8,182,heavy,22.3,6131.07,Evening,Weekday
5:45:00 pm,12,Thursday,109,16,41,9,175,heavy,21.3,5744.3,Evening,Weekday
6:00:00 pm,12,Thursday,112,11,50,5,178,heavy,19.8,4974.8,Evening,Weekday
6:15:00 pm,12,Thursday,104,31,30,5,170,heavy,21.2,6499.12,Evening,Weekday
6:30:00 pm,12,Thursday,146,18,40,6,210,heavy,19.8,4421.44,Evening,Weekday
6:45:00 pm,12,Thursday,110,24,10,29,173,heavy,17.9,4671.37,Evening,Weekday
7:00:00 pm,12,Thursday,60,15,12,25,112,high,20,3521.82,Evening,Weekday
7:15:00 pm,12,Thursday,103,9,14,29,155,high,18.4,4737.66,Evening,Weekday
7:30:00 pm,12,Thursday,102,6,15,6,129,normal,18.2,4566.8,Evening,Weekday
7:45:00 pm,12,Thursday,51,17,16,8,92,normal,15.9,3368.6,Evening,Weekday
8:00:00 pm,12,Thursday,62,12,11,18,103,normal,16.6,4663.86,Evening,Weekday
8:15:00 pm,12,Thursday,103,14,12,5,134,normal,15.8,2950.9,Evening,Weekday
8:30:00 pm,12,Thursday,50,7,11,23,91,normal,14.5,2003.95,Evening,Weekday
8:45:00 pm,12,Thursday,80,14,20,6,120,normal,14.5,3524.98,Evening,Weekday
9:00:00 pm,12,Thursday,98,13,18,21,150,high,15.2,3023.44,Evening,Weekday
9:15:00 pm,12,Thursday,53,25,20,13,111,normal,15.6,3276.18,Night,Weekday
9:30:00 pm,12,Thursday,52,8,10,27,97,normal,14.4,2386.79,Night,Weekday
9:45:00 pm,12,Thursday,71,23,13,21,128,high,14.2,3440.31,Night,Weekday
10:00:00 pm,12,Thursday,17,3,0,29,49,normal,12.7,2012.54,Night,Weekday
10:15:00 pm,12,Thursday,20,5,1,36,62,normal,14.1,3541.83,Night,Weekday
10:30:00 pm,12,Thursday,15,0,0,32,47,normal,13.6,3690.24,Night,Weekday
10:45:00 pm,12,Thursday,15,0,1,20,36,normal,12,3206.81,Night,Weekday
11:00:00 pm,12,Thursday,14,2,0,23,39,normal,12.8,2336.97,Night,Weekday
11:15:00 pm,12,Thursday,13,1,0,29,43,normal,11.4,2334.96,Night,Weekday
11:30:00 pm,12,Thursday,14,5,0,31,50,normal,11.4,3399.45,Night,Weekday
11:45:00 pm,12,Thursday,16,3,0,33,52,normal,11,2360.76,Night,Weekday
12:00:00 am,13,Friday,18,4,1,15,38,normal,12.4,2867.36,Night,Weekday
12:15:00 am,13,Friday,20,0,1,23,44,normal,13.2,2525.67,Night,Weekday
12:30:00 am,13,Friday,19,3,0,16,38,normal,10.8,2937.03,Night,Weekday
12:45:00 am,13,Friday,10,3,0,12,25,low,12.6,3177.04,Night,Weekday
1:00:00 am,13,Friday,10,4,0,23,37,normal,11.4,3131.85,Night,Weekday
1:15:00 am,13,Friday,12,5,0,29,46,normal,12,3809.89,Night,Weekday
